Framework,Sce1.Case1,Sce1.Case2,Sce1.Case3,Sce1.Case4,Sce2.Case1,Sce2.Case2,Sce2.Case3,Sce2.Case4,Sce3.Case1,Sce3.Case2,Sce3.Case3,Sce3.Case4,Sce4.Case1,Sce4.Case2,Sce4.Case3,Sce4.Case4,AVE.
81,-0.078,0.057,-0.042,0.13,0.027,-0.127,-0.118,0.072,0.028,-0.026,0.035,-0.025,0.11,-0.123,-0.033,-0.056,-0.011
82,0.075,0.133,-0.019,0.007,-0.002,0.021,-0.056,0.007,0.023,-0.018,0.101,0.064,-0.004,0.003,0.057,0.133,0.033
83,0.052,0.022,0.128,0.01,-0.058,0.006,0.056,0.112,0.134,-0.054,0.05,-0.092,0.099,-0.036,0.017,-0.043,0.025
84,0.067,-0.024,0.016,0.005,-0.01,-0.111,0.044,-0.129,0.118,-0.109,0.116,-0.049,-0.126,0.001,0.106,0.136,0.003
85,-0.129,0.088,-0.045,0.06,-0.13,-0.001,-0.07,0.047,0.018,-0.019,0.07,0.067,-0.074,-0.051,0.063,0.041,-0.004
86,0.051,-0.065,0.026,0.082,0.078,-0.015,-0.018,-0.1,0.115,0.036,0.014,-0.023,0.129,-0.109,0.131,-0.085,0.015
87,-0.09,0.011,0.053,-0.045,0.047,0.009,0.004,-0.009,-0.089,-0.105,0.011,-0.128,-0.065,-0.021,0.137,-0.011,-0.018
88,-0.003,0.054,-0.119,0.116,0.031,-0.02,-0.038,-0.081,-0.094,0.068,0.05,-0.088,-0.081,0.116,-0.074,-0.052,-0.013
89,-0.008,-0.085,0.007,0.117,-0.1,-0.04,-0.129,-0.116,0.122,-0.038,-0.001,-0.104,0.057,0.123,-0.091,0.013,-0.017
90,0.109,-0.015,0.063,0.077,-0.064,-0.081,0.134,-0.062,-0.112,-0.049,-0.044,0.128,0.02,0.115,-0.056,-0.01,0.01
91,-0.054,-0.011,0.137,-0.092,-0.013,-0.129,-0.124,0.028,0.024,0.07,0.053,-0.03,-0.113,0.006,-0.018,0.056,-0.013
92,0.131,-0.015,0.075,-0.057,-0.101,-0.102,-0.076,-0.036,0.135,0.046,-0.027,-0.013,-0.045,0.132,-0.098,-0.124,-0.011
93,-0.008,0.034,-0.008,0.01,-0.066,-0.064,0.064,-0.03,0.095,0.019,-0.115,0.023,0.058,-0.052,0.015,0.052,0.002
94,0.13,0.011,0.073,0.072,0.047,0.005,0.05,0.058,0.031,0.027,0.123,-0.069,-0.083,-0.001,0.011,0.017,0.031
95,0.116,-0.084,-0.125,0.026,0.095,0.084,-0.015,0.069,-0.093,-0.111,0.092,0.056,0.081,0.079,0.027,0.057,0.022
96,-0.071,-0.064,0.049,0.13,-0.004,-0.036,-0.075,-0.045,-0.119,-0.031,-0.009,0.039,0,0.093,-0.024,0.106,-0.004
97,-0.04,-0.123,-0.073,0.002,-0.031,0.028,-0.07,-0.123,0.039,-0.057,0.076,0.109,-0.06,-0.013,-0.015,-0.121,-0.029
98,-0.052,0.11,0.106,-0.109,0.072,0.068,0.117,0.047,0.036,-0.022,-0.07,-0.033,-0.042,-0.011,-0.062,-0.08,0.005
99,-0.01,0.066,0.042,-0.006,0.081,0.023,0.064,-0.078,0.017,-0.099,0.079,0.105,-0.068,0.048,0.086,0.048,0.025
100,0.124,0.074,-0.076,0.053,-0.014,0.057,-0.023,-0.045,0.053,-0.076,0.028,0.11,-0.024,0.044,0.04,-0.079,0.015
101,0.047,-0.028,-0.03,0,-0.014,0.053,0.137,0.019,-0.06,0.036,0.058,-0.061,-0.066,-0.07,0.065,0.128,0.013
102,-0.011,0.014,0.083,0.031,-0.026,0.048,0.091,-0.031,0.106,0.067,0.12,-0.083,-0.009,-0.102,0.022,-0.035,0.018
103,-0.039,-0.04,0.083,-0.052,0.133,-0.061,-0.003,-0.005,-0.102,0.139,-0.082,-0.035,0.081,0.034,-0.004,0.065,0.007
104,-0.065,-0.069,-0.076,-0.074,0.115,-0.125,-0.038,0.005,-0.015,-0.015,-0.053,-0.124,0.067,-0.11,-0.006,0.034,-0.034
105,-0.081,0.009,-0.047,0.048,-0.125,-0.042,-0.009,-0.129,-0.095,-0.05,-0.012,0.031,0.018,-0.053,-0.071,0.081,-0.033
106,-0.067,-0.058,0.022,-0.004,-0.016,-0.117,-0.002,0.022,-0.123,0.034,0.06,-0.018,0.047,0.013,-0.069,0.02,-0.016
107,-0.092,0.011,0.02,0.034,0.041,0.12,-0.055,-0.12,0.113,-0.096,-0.032,-0.003,-0.121,0.038,-0.023,0.129,-0.002
108,0.032,0.051,-0.11,-0.082,0.126,0.086,0.021,0.103,-0.032,-0.104,0.078,0.063,-0.046,0.066,-0.013,-0.023,0.014
109,0.101,0.038,-0.114,-0.006,-0.06,0.075,0.082,-0.006,-0.082,0,0.128,-0.051,0.046,0.074,-0.106,0.062,0.011
110,-0.124,0.039,0.09,-0.093,-0.053,-0.001,0.022,-0.119,-0.038,0.102,-0.025,-0.075,-0.01,-0.009,0.054,-0.05,-0.018
111,-0.011,0.1,0.058,-0.032,-0.113,-0.046,-0.112,0.083,0.063,-0.061,0.015,0.021,0.02,0.12,-0.058,0.038,0.005
112,-0.112,-0.019,0.046,-0.098,0.117,0.059,-0.005,0.041,-0.016,-0.051,0.109,0.09,0.018,0.008,-0.023,-0.09,0.005
113,0.09,0.022,-0.025,0.118,0.037,0.137,0.051,-0.117,0.023,0.135,-0.016,0.01,-0.111,0.022,0.099,0.139,0.038
114,0.08,0.049,-0.089,0.101,-0.12,-0.069,0.11,0.011,0.079,-0.105,-0.123,0.047,0.12,0.134,-0.092,-0.062,0.004
115,-0.059,-0.04,-0.082,0.093,-0.078,-0.054,-0.07,-0.103,0.074,-0.072,0.11,-0.014,-0.017,-0.118,0.101,0.033,-0.018
116,0.007,-0.06,0.007,0.1,0.092,0.025,0.029,-0.002,0.125,0.046,-0.071,0.121,0.015,0.067,0.097,-0.082,0.032
117,0.041,0.022,-0.032,0.043,-0.118,-0.12,0.09,-0.059,0.023,0.092,0.071,-0.112,-0.025,-0.014,0.022,-0.046,-0.008
118,-0.063,0.109,-0.037,0.044,0.137,0.056,-0.105,0.138,0,-0.068,0.061,-0.05,0.069,-0.076,-0.043,-0.098,0.005
119,-0.024,-0.017,-0.025,-0.096,0.118,0.13,-0.127,-0.044,-0.016,0.107,0.08,-0.021,-0.068,-0.001,0.031,-0.035,-0.001
120,-0.048,-0.068,-0.117,-0.091,0.061,0.059,0.11,0.116,0.116,0.022,0.115,0.084,0.107,0.128,0.139,0.071,0.05
121,0.088,0.072,-0.076,-0.08,0.112,0.034,0.017,-0.018,0.102,-0.128,-0.074,0.019,0.114,0.02,0.085,0.01,0.019
122,0.141,-0.1,-0.044,0.064,-0.026,-0.095,-0.077,0.018,0.084,-0.033,-0.065,0.016,0.097,0.114,-0.117,-0.033,-0.004
123,-0.104,-0.022,0.026,0.033,-0.125,0.055,-0.023,0.089,0.091,-0.019,0.147,-0.125,0.12,0.059,-0.096,0,0.007
124,-0.012,0.136,0.137,-0.101,0.009,-0.072,0.011,-0.098,-0.092,0.031,-0.054,-0.074,0.024,0.039,-0.091,-0.114,-0.02
